id_persona,nombre,apellido,edad,genero,ciudad,estado,ocupacion,nivel_estudios,ingreso_mensual,activo,fecha_registro
1,Erick,Lopez,31,M,Merida,Aguascalientes,Ingeniero,Maestria,18399.8,true,2026-04-17
2,Carlos,Lopez,44,F,Guadalajara,Aguascalientes,Medico,Licenciatura,13430.05,true,2026-05-11
3,Ana,Gomez,28,M,Merida,Aguascalientes,Ingeniero,Licenciatura,9310.77,true,2026-05-14
4,Carlos,Garcia,34,M,Merida,Aguascalientes,Estudiante,Maestria,20802.59,true,2026-03-27
5,Luis,Lopez,57,M,CDMX,Aguascalientes,Diseñador,Preparatoria,6854.03,true,2026-04-07
6,Elena,Garcia,39,M,CDMX,Aguascalientes,Diseñador,Licenciatura,21147.05,true,2026-05-30
7,Darely,Hernandez,52,F,Aguascalientes,Aguascalientes,Medico,Maestria,7796.43,true,2026-04-01
8,Elena,Hernandez,55,M,Monterrey,Aguascalientes,Medico,Maestria,10262.32,true,2026-04-21
9,Ana,Garcia,45,F,Guadalajara,Aguascalientes,Abogado,Doctorado,20132.52,true,2026-04-19
10,Darely,Lopez,18,F,Guadalajara,Aguascalientes,Medico,Licenciatura,13967.59,true,2026-03-14
11,Erick,Gomez,28,F,CDMX,Aguascalientes,Estudiante,Maestria,6635.15,true,2026-04-01
12,Maria,Alvarez,49,M,Merida,Aguascalientes,Estudiante,Doctorado,8883.19,true,2026-05-17
13,Eduardo,Hernandez,28,F,CDMX,Aguascalientes,Ingeniero,Doctorado,3592.26,true,2026-04-16
14,Eduardo,Cruz,39,F,Monterrey,Aguascalientes,Abogado,Licenciatura,18235.35,true,2026-03-25
15,Eduardo,Hernandez,37,F,Merida,Aguascalientes,Ingeniero,Preparatoria,18503.42,true,2026-04-01
16,Ana,Garcia,37,F,CDMX,Aguascalientes,Abogado,Licenciatura,16523.07,true,2026-03-08
17,Darely,Cruz,20,M,Monterrey,Aguascalientes,Estudiante,Preparatoria,9936.83,true,2026-05-23
18,Maria,Gomez,18,M,Merida,Aguascalientes,Medico,Licenciatura,8885.36,true,2026-04-10
19,Ana,Cruz,48,F,Guadalajara,Aguascalientes,Estudiante,Preparatoria,5254.18,true,2026-03-12
20,Elena,Gomez,33,F,Aguascalientes,Aguascalientes,Abogado,Doctorado,13103.92,true,2026-02-22
21,Carlos,Hernandez,57,F,CDMX,Aguascalientes,Estudiante,Maestria,21317.69,true,2026-03-12
22,Erick,Perez,39,M,CDMX,Aguascalientes,Diseñador,Preparatoria,9225.44,true,2026-03-02
23,Ana,Alvarez,38,M,Guadalajara,Aguascalientes,Diseñador,Licenciatura,7973.49,false,2026-03-14
24,Darely,Cruz,21,F,Guadalajara,Aguascalientes,Medico,Doctorado,12458.58,true,2026-04-28
25,Carlos,Garcia,49,F,CDMX,Aguascalientes,Estudiante,Doctorado,10163.82,true,2026-03-23
26,Carlos,Alvarez,20,M,Merida,Aguascalientes,Abogado,Maestria,20922.44,true,2026-04-28
27,Ana,Martinez,55,F,Merida,Aguascalientes,Abogado,Preparatoria,13709.78,false,2026-04-30
28,Elena,Alvarez,39,M,Monterrey,Aguascalientes,Medico,Maestria,20640.74,true,2026-02-18
29,Maria,Alvarez,19,F,Guadalajara,Aguascalientes,Estudiante,Maestria,13767.82,false,2026-03-22
30,Elena,Martinez,25,F,Monterrey,Aguascalientes,Ingeniero,Doctorado,20474.69,true,2026-02-10
31,Maria,Lopez,56,F,CDMX,Aguascalientes,Estudiante,Preparatoria,11141.71,true,2026-04-21
32,Maria,Lopez,39,F,Monterrey,Aguascalientes,Ingeniero,Doctorado,12672.15,true,2026-03-10
33,Carlos,Perez,25,M,Aguascalientes,Aguascalientes,Diseñador,Preparatoria,6638.4,false,2026-02-22
34,Eduardo,Martinez,46,M,CDMX,Aguascalientes,Ingeniero,Preparatoria,5348.41,true,2026-05-17
35,Eduardo,Garcia,24,M,Merida,Aguascalientes,Medico,Maestria,16467.92,false,2026-04-12
36,Ana,Lopez,20,M,Guadalajara,Aguascalientes,Diseñador,Licenciatura,3114.39,false,2026-02-24
37,Eduardo,Cruz,56,F,Guadalajara,Aguascalientes,Ingeniero,Maestria,14472.53,true,2026-03-16
38,Jose,Gomez,59,F,CDMX,Aguascalientes,Estudiante,Doctorado,22991.51,true,2026-03-27
39,Jose,Hernandez,45,F,Guadalajara,Aguascalientes,Abogado,Preparatoria,19136.29,true,2026-03-20
40,Jose,Alvarez,23,M,Monterrey,Aguascalientes,Diseñador,Maestria,5290.7,false,2026-03-28
41,Carlos,Martinez,25,M,Aguascalientes,Aguascalientes,Ingeniero,Preparatoria,14714.17,true,2026-05-21
42,Eduardo,Perez,47,M,CDMX,Aguascalientes,Diseñador,Licenciatura,17337.57,true,2026-05-15
43,Eduardo,Lopez,33,F,Merida,Aguascalientes,Medico,Maestria,8349.72,true,2026-02-26
44,Darely,Lopez,23,F,CDMX,Aguascalientes,Ingeniero,Doctorado,3932.06,true,2026-05-06
45,Erick,Martinez,18,F,Aguascalientes,Aguascalientes,Diseñador,Licenciatura,9129.25,true,2026-05-14
46,Jose,Cruz,40,M,CDMX,Aguascalientes,Estudiante,Doctorado,8360.28,false,2026-03-21
47,Erick,Martinez,46,F,CDMX,Aguascalientes,Diseñador,Maestria,6959.43,true,2026-04-03
